p_Name,shop_name,ProductID,price,PreferentialPrice,CommentCount,GoodRateShow,GoodCount,GeneralCount,PoorCount,brand,keyword,type,Y_type
"
                                    风扇USB风扇台灯风扇充电风扇迷你风扇卡通熊猫电风扇台式多功能风扇静音风扇 浅蓝色                ",吉礼宏邦礼品专营店,12005662419,89.00,59.00,2,100,2,0,0,品优之家,,"风扇USB风扇台灯风扇充电风扇迷你风扇卡通熊猫电风扇台式多功能风扇静音风扇 浅蓝色,12005662419, ,500.00g,中国大陆,S3113熊猫,无定时,三档调节,正常风、自然风,4片,1级,机械式,USB风扇",none
"
                                    风扇USB风扇迷你电风扇充电小风扇静音吉祥鸟手持便携风扇送学生女友同事创意礼品风扇 黑色                ",吉礼宏邦礼品专营店,12038933990,79.00,49.00,4,100,4,0,0,品优之家,,"风扇USB风扇迷你电风扇充电小风扇静音吉祥鸟手持便携风扇送学生女友同事创意礼品风扇 黑色,12038933990, ,200.00g,中国大陆,吉祥鸟手持充电风扇,无定时,三档调节,正常风、自然风,7片及以上,1级,机械式,USB风扇",none
"
                                    格力(GREE)电风扇七叶家用遥控风扇落地扇电扇FS-3005BG7-WG 白色                ",格力威铭专卖店,12045953424,499.00,299.00,2,50,1,0,1,格力（GREE）,,"格力(GREE)电风扇七叶家用遥控风扇落地扇电扇FS-3005BG7-WG 白色,12045953424, ,6.74kg,中国大陆,2-8小时,四档调节,正常风、自然风、睡眠风,7片及以上,3级,遥控式,落地扇",none
"
                                    威乐星 手持喷雾风扇 usb充电补水小风扇 加湿器迷你风扇 蓝色                ",家居就建材家居旗舰店,12050240823,79.00,79.00,1,100,1,0,0,威乐星（Well STar）,,"威乐星 手持喷雾风扇 usb充电补水小风扇 加湿器迷你风扇 蓝色,12050240823, ,170.00g,无定时,三档调节,正常风、自然风,5片,无,机械式,USB风扇",none
"
                                    艾美特空调扇 家用制冷水风扇遥控水风扇塔式冷风扇 亮黑色                ",吉航礼品专营店,12050854015,999.00,999.00,0,100,0,0,0,艾美特,,"艾美特空调扇 家用制冷水风扇遥控水风扇塔式冷风扇 亮黑色,12050854015, ,8.0kg,CFTW10,2-8小时,三档调节,正常风,无叶,1级,遥控式,塔扇",none
"
                                    艾美特(Airmate) 电风扇家用静音落地扇FS40105QR驱蚊风扇送驱蚊液 白色                ",艾美特官方旗舰店,12061135651,699.00,329.00,10,100,10,0,0,艾美特,底座很稳 造型美观 质量不错 颜色漂亮 扇网坚固 风很柔和 安装方便 风扇不错 底座很稳 造型美观 质量不错 颜色漂亮 扇网坚固,"艾美特(Airmate) 电风扇家用静音落地扇FS40105QR驱蚊风扇送驱蚊液 白色,12061135651, ,8.4kg,中国大陆,FS40105QR,2-8小时,三档调节,正常风、自然风、睡眠风,3片,1级,遥控式,落地扇",none
"
                                    艾美特电风扇 家用遥控静音八字摇头落地扇可升降 黑色                ",吉航礼品专营店,12061813202,799.00,799.00,0,100,0,0,0,艾美特,,"艾美特电风扇 家用遥控静音八字摇头落地扇可升降 黑色,12061813202, ,12.5kg,FS4041LDRI,8小时以上,五档调节,正常风、自然风、睡眠风,5片,1级,遥控式,落地扇",none
"
                                    艾美特电风扇 方便式提手家用立式无叶静音塔扇 黑色                ",吉航礼品专营店,12061973347,699.00,699.00,3,100,3,0,0,艾美特,,"艾美特电风扇 方便式提手家用立式无叶静音塔扇 黑色,12061973347, ,7.6kg,11357127072,2-8小时,三档调节,正常风、自然风,无叶,1级,机械式,落地扇",none
"
                                    赛亿电风扇 KYT25-5台式转页扇家用学生办公风扇 白色                ",吉航礼品专营店,12063328378,119.00,119.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇 KYT25-5台式转页扇家用学生办公风扇 白色,12063328378, ,0.8kg,KYT25-5,2-8小时,三档调节,正常风,5片,1级,机械式,台扇",none
"
                                    赛亿电风扇 FS40-6五风叶定时摇头家用落地扇 草绿色                ",吉航礼品专营店,12063557797,269.00,269.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇 FS40-6五风叶定时摇头家用落地扇 草绿色,12063557797, ,2.5kg,FS40-6,2小时以下,三档调节,正常风,5片,2级,机械式,落地扇",none
"
                                    赛亿电风扇 OEMKYT25-1台式转页扇落地鸿运风扇 蓝色                ",吉航礼品专营店,12064614389,178.00,178.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇 OEMKYT25-1台式转页扇落地鸿运风扇 蓝色,12064614389, ,1.0kg,KYT25-1,2-8小时,四档调节,正常风,5片,1级,机械式,转页扇",none
"
                                    风扇USB风扇充电迷你电风扇宠物喷雾补水风扇静音手持便携风扇创意礼品风扇夏天创意礼物 粉红色                ",吉礼宏邦礼品专营店,12064698527,139.00,79.00,7,86,6,0,1,品优之家,,"风扇USB风扇充电迷你电风扇宠物喷雾补水风扇静音手持便携风扇创意礼品风扇夏天创意礼物 粉红色,12064698527, ,300.00g,中国大陆,宠物喷雾风扇,无定时,三档调节,正常风、自然风,7片及以上,1级,机械式,USB风扇",none
"
                                    赛亿电风扇 迷你USB风扇小电扇学生办公电脑散热小风扇FB4-01 黑色                ",吉航礼品专营店,12064705108,79.00,79.00,0,100,0,0,0,赛亿（Shinee）,,"赛亿电风扇 迷你USB风扇小电扇学生办公电脑散热小风扇FB4-01 黑色,12064705108, ,430.00g,FB4-01,无定时,二档调节,正常风,3片,1级,机械式,USB风扇",none
"
                                    风扇USB风扇迷你风扇静音风扇柠檬充电小风扇手持便携风扇水果风扇创意礼品风扇 橙色                ",吉礼宏邦礼品专营店,12064963569,79.00,49.00,3,100,3,0,0,品优之家,,"风扇USB风扇迷你风扇静音风扇柠檬充电小风扇手持便携风扇水果风扇创意礼品风扇 橙色,12064963569, ,200.00g,中国大陆,柠檬风扇,无定时,三档调节,正常风、自然风,7片及以上,1级,机械式,USB风扇",none
"
                                    威乐星 迷你充电手持风扇便携usb小风扇 萌猫系列 学生小巧可爱风扇 蓝色                ",家居就建材家居旗舰店,12065442723,49.00,49.00,9,89,8,1,0,威乐星（Well STar）,,"威乐星 迷你充电手持风扇便携usb小风扇 萌猫系列 学生小巧可爱风扇 蓝色,12065442723, ,125.00g,无定时,三档调节,正常风、自然风,5片,无,机械式,USB风扇",none
"
                                    艾美特(Airmate) FS40101R 电风扇家用直流变频遥控落地扇/电风扇/风扇 白色                ",艾美特官方旗舰店,12067345590,1499.00,1199.00,1,100,1,0,0,艾美特,,"艾美特(Airmate) FS40101R 电风扇家用直流变频遥控落地扇/电风扇/风扇 白色,12067345590, ,11.08kg,中国大陆,FS40101R,8小时以上,五档以上,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",none
"
                                    百乐富CFS-14D空气对流循环扇对流扇台式电风扇出口日本风扇                ",百乐富专营店,12068802922,599.00,268.00,80,100,80,0,0,百乐富（BAILEFU）,噪音很小 风扇不错 风力很大 安全节能 适合宝宝 使用方便 睡眠风不错 造型美观 扇网坚固 底座很稳 电机好 底座很稳 风扇不错 风力很大 质量不错 造型美观 噪音很小 使用方便 风扇不错 睡眠风不错 遥控方便 颜色漂亮 造型美观,"百乐富CFS-14D空气对流循环扇对流扇台式电风扇出口日本风扇,12068802922, ,2.7kg,中国大陆,CFS-14D空气循环扇,8小时以上,四档调节,正常风,3片,1级,遥控式,空气循环扇",none
"
                                    艾美特(Airmate) FS4080PRI 智能变频 等离子24挡 静音电风扇/落地扇 白色                ",艾美特官方旗舰店,12077967006,1299.00,1249.00,6,100,6,0,0,艾美特,风很柔和 电机好 睡眠风不错 底座很稳 扇网坚固 噪音很小 使用方便 风扇不错 电机好 睡眠风不错 风很柔和 底座很稳 扇网坚固 噪音很小 使用方便 风扇不错 风很柔和,"艾美特(Airmate) FS4080PRI 智能变频 等离子24挡 静音电风扇/落地扇 白色,12077967006, ,12.45kg,中国大陆,FS4080PRI,8小时以上,无极变速,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",none
"
                                    电风扇/USB风扇/学生宿舍移动台式电脑迷你小风扇 手持三档 桌面 办公室小风扇 黑色                ",兴隆天佑礼品专营店,12078017326,89.00,69.00,10,75,10,0,4,博利莱,风扇不错 造型美观 质量不错 使用方便 噪音很小 风很柔和 颜色漂亮 安全节能 风力很大 广角送风 颜色漂亮,"电风扇/USB风扇/学生宿舍移动台式电脑迷你小风扇 手持三档 桌面 办公室小风扇 黑色,12078017326, ,500.00g,中国大陆,无定时,三档调节,正常风,4片,无,机械式,USB风扇",none
"
                                    艾美特SA35195R家用电风扇落地扇苹果homekit智能家居7叶羽翼风扇 白色                ",艾美特官方旗舰店,12078077985,1899.00,1859.00,10,90,9,0,1,艾美特,风力很大 使用方便 睡眠风不错 风力很大 使用方便 睡眠风不错,"艾美特SA35195R家用电风扇落地扇苹果homekit智能家居7叶羽翼风扇 白色,12078077985, ,6.79kg,中国大陆,SA35195R,8小时以上,无极变速,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",none
"
                                    爱家乐（AKIRA）AX102无叶风扇台式电风扇壁挂 壁扇 单冷普通版                ",爱家乐生活电器专卖店,12083387401,899.00,499.00,100,97,100,5,0,爱家乐（AKIRA）,遥控方便 安装方便 风很柔和 电机好 底座很稳 质量不错 颜色漂亮 造型美观 安全节能 遥控方便 电机好 底座很稳 质量不错 颜色漂亮,"爱家乐（AKIRA）AX102无叶风扇台式电风扇壁挂 壁扇 单冷普通版,12083387401, ,3.1kg,中国大陆,2小时以下,五档以上,正常风、自然风、睡眠风,无叶,无,遥控式,台扇，壁扇，空气循环扇",none
"
                                    SKYRUN智能七叶多功能直流变频电风扇落地扇遥控摇头静音风扇空气循环扇 SKF35A无电池                ",SKYRUN铭骐专卖店,12094966131,799.00,599.00,20,100,20,0,0,SKYRUN,质量不错 噪音很小 安全节能 风扇不错 风力很大 造型美观 远程遥控 使用方便 安装方便 风很柔和 风扇不错 安全节能 远程遥控 安全节能 造型美观 风力很大 质量不错 造型美观 安全节能 使用方便 风力很大 风力很大,"SKYRUN智能七叶多功能直流变频电风扇落地扇遥控摇头静音风扇空气循环扇 SKF35A无电池,12094966131, ,6.6kg,中国大陆,8小时以上,无极变速,正常风、自然风、睡眠风,7片及以上,1级,遥控式,落地扇",none
"
                                    爱家乐（AKIRA）电风扇 空气循环扇壁挂无叶风扇 LED 遥控10寸AX102NATU                ",爱家乐旗舰店,12099731604,1899.00,599.00,10,88,10,1,1,爱家乐,使用方便 安装方便 底座很稳 质量不错 安全节能 风力很大 适合宝宝 风很柔和 使用方便 安装方便 质量不错 安全节能 风力很大 适合宝宝 风很柔和,"爱家乐（AKIRA）电风扇 空气循环扇壁挂无叶风扇 LED 遥控10寸AX102NATU,12099731604, ,1.8kg,2-8小时,无极变速,正常风、自然风、睡眠风,无叶,无,遥控式,落地扇，台扇，壁扇，空气循环扇",none
