creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince,
2016/12/13 9:03,"""替朋友买的 说不错",9,TRUE,"""w***u""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016/12/13 8:58,"""送货速度很快，空调制热效果不错",8,FALSE,"""l***q""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""钻石会员""","""湖北"""
2016/12/13 8:37,"""好",8,TRUE,"""j***6""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""",""""""
2016/10/9 8:49,"""挺好的、安装服务也很好",8,FALSE,"""何***平""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""""","""钻石会员""",""""""
2016/10/9 8:30,"""好好好",8,TRUE,"""3***1""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东Android客户端""","""PLUS会员""",""""""
2016/10/9 8:19,"""不错",8,FALSE,"""一***9""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""""","""金牌会员""",""""""
2016/10/9 8:14,"""已安b，信任格力品牌！",8,TRUE,"""ali刚刚""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东iPhone客户端""","""银牌会员""",""""""
2016/10/9 8:08,"""帮同事买的，家用，听说质量杠杠的，物流非常快捷，服务到位，格力品质，值得信赖！",8,FALSE,"""l***0""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""""","""金牌会员""","""河南"""
2016/10/9 8:00,"""很好。。不错的产品。。",8,TRUE,"""3***1""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东Android客户端""","""钻石会员""",""""""
2016/10/9 8:00,"""用了这么久才来评价，实在是对不住京东，以下是本人的真实感受。送货快，安装快，质量没话说，而且超省电，无噪音",8,TRUE,"""M***少""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东Android客户端""","""金牌会员""","""湖北"""
2016/10/9 7:28,"""不错，还可以接收",7,TRUE,"""j***头""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东Android客户端""","""银牌会员""",""""""
2016/10/9 7:27,"""外观不错，效果没试，期待好效果！",7,TRUE,"""m***棋""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东iPhone客户端""","""钻石会员""",""""""
2016/10/9 7:20,"""非常棒，安装师傅也很赞，很快安装好了，巧的是，隔壁也在同时购买了跟我家一样的，哈哈，一起安装了",7,TRUE,"""j***l""","""正1.5匹""","""品圆变频挂机""",FALSE,5,1,"""来自京东iPhone客户端""","""金牌会员""","""河北"""
2017/2/26 8:49,"""安装师傅特别认真卖力，到底是大品牌，用户体验非常好，为国产品牌点赞！以后空调就买这个牌子了！",8,TRUE,"""d***2""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""银牌会员""",""""""
2017/2/26 8:48,"""挺好的 就是这个配送的时候有点小磕碰",8,TRUE,"""唐***2""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""","""山东"""
2017/2/26 8:46,"""还没用",8,TRUE,"""j***瘾""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017/2/26 8:12,"""服务很好，很快，完全根据客户情况配送。",8,TRUE,"""j***i""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2017/2/26 8:00,"""送货速度快，还包安装，不错。",8,TRUE,"""疯***物""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""PLUS会员""","""上海"""
2017/2/26 8:00,"""还可以吧！",8,TRUE,"""李***9""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""钻石会员""","""北京"""
2017/2/26 2:31,"""商品满意，很好",2,FALSE,"""O***a""","""正1.5匹""","""品圆变频挂机""",FALSE,4,0,"""来自微信购物""","""银牌会员""",""""""
2017/2/26 1:15,"""很高大尚，物超所值，值得的",1,TRUE,"""j***x""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2017/2/26 1:11,"""非常不错，制热效果非常好！就是不知道制冷效果怎么样！",1,TRUE,"""K***L""","""正1.5匹""","""品圆变频挂机""",FALSE,4,0,"""来自京东Android客户端""","""金牌会员""","""广东"""
2017/2/25 23:34,"""不错，质量很好！大家用起都说可以，有保障！",23,FALSE,"""q***7""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""""","""钻石会员""","""四川"""
2016/6/19 9:48,"""好空调格力造不愧是真的啦！",9,TRUE,"""j***l""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2016/6/19 9:48,"""安装太不负责任不给打孔，要自己打好空他才来安装，卧室的空调外机安装到客厅外机位置上导致管线不够长让加钱买管线",9,FALSE,"""格力空调GREE""","""正1.5匹""","""品圆变频挂机""",FALSE,1,3,"""""","""注册会员""",""""""
2016/6/20 13:50,"""京东的速度真的好快，6.16买的，6.17日下午就送来了，6.18日早上就装好了。很感谢快递员的热情服务。还有格力安装工人的尽心尽力，很专业，关键是空调制冷睡眠模式一点噪音都没有，外观也很漂亮，很喜欢，6.18又抢购了两台，第一次京东买电器，很完美的一次购物，",13,TRUE,"""j***n""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""",""""""
2016/6/19 9:48,"""安装人员在哪？？？？？",9,FALSE,"""格力空调GREE""","""正1.5匹""","""品圆变频挂机""",FALSE,1,2,"""来自微信购物""","""注册会员""",""""""
2016/6/20 10:03,"""感觉制冷效果不是太好！",10,TRUE,"""j***f""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""银牌会员""",""""""
2016/6/19 9:44,"""还没用",9,TRUE,"""y***y""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东iPhone客户端""","""金牌会员""","""上海"""
2016/6/19 9:44,"""可以",9,TRUE,"""j***2""","""正1.5匹""","""品圆变频挂机""",FALSE,5,0,"""来自京东Android客户端""","""金牌会员""","""广东"""
