creationTime,content_1,days,isMobile,nickname,productSize,referenceName,referenceTime,score,userClient,userLevel,userProvince
2016/6/23 10:35,"""618凌晨下单，中午就送到了，速度真是快，19号预约安装，正好可以应付最近的桑拿天。空调静音效果很不错，晚上开机几乎听不到声音，真的不错！",5,TRUE,"""l***r""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 0:10,5,"""来自京东iPhone客户端""","""钻石会员""","""北京"""
2016/6/23 10:33,"""昨天晚上8点多收到的货，这几天天气热，我们德阳无现货，是从绵阳调的货过来，送货的小伙子说这些天天天送货到晚上十一二点。辛苦了，向你们致谢！已经联系了格力售后，这几天太忙，如果安排得过来就今天安装，安排不过来明天安装。待安装后再来晒单。",5,TRUE,"""z***7""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 3:59,5,"""来自京东iPhone客户端""","""银牌会员""","""四川"""
2016/6/24 21:48,"""16号买的17号送到18号安装，速度与服务态度还满意。可能机器第一次开，刚开始的时候没有想象中那么凉。联系客服派了师傅上门检测，说是正常的放心使用。现在空调也凉了，格力服务与售后还是不错的。",7,TRUE,"""上辈子520""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/16 0:03,5,"""来自京东Android客户端""","""金牌会员""","""海南"""
2016/6/23 10:31,"""格力的空调很好，几乎没声音。售后安装师傅都很耐心",7,TRUE,"""陈***玛""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/16 19:55,5,"""来自京东Android客户端""","""金牌会员""","""北京"""
2016/6/23 10:26,"""无论你怎么打电话都约不了安装，你买了个空调安装电话却一直打不通，你都不知道有多悲催，好想退单呀。",5,FALSE,"""绿***风""","""品圆变频挂机""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2016/6/18 12:33,1,"""""","""钻石会员""","""北京"""
2016/6/23 10:58,"""收到了，很好物流挺快的",2,TRUE,"""H***0""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 0:32,5,"""来自京东Android客户端""","""金牌会员""",""""""
2015/12/16 10:59,"""很专业的师傅\n",2,TRUE,"""机***6""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 0:43,5,"""来自京东iPhone客户端""","""钻石会员""","""辽宁"""
2015/12/14 15:38,"""很好",2,TRUE,"""m***d""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 3:00,5,"""来自京东iPhone客户端""","""钻石会员""","""浙江"""
2015/12/14 15:38,"""好",2,TRUE,"""j***g""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/12 11:54,5,"""来自京东Android客户端""","""银牌会员""",""""""
2015/12/14 15:09,"""快递给力、服务很好，第一次在京东买大件很不错\n",4,TRUE,"""jd135110eub""","""大1匹""","""格力（GREE）大1匹 变频 品圆 冷暖 壁挂式空调 KFR-26GW/(26592)FNhDa-A3""",2015/12/10 0:18,5,"""来自京东iPhone客户端""","""钻石会员""",""""""
